LID,TYPE40,PD40,CL40,TYPE41,PD41,CL41,TYPE42,PD42,CL42,TYPE43,PD43,CL43,TYPE80,obscode,Dia,Ano,Start,LULC,habitat,MQCOMP1,MQCOMP2,SHDI,ELEV_MEAN,ELEV_RANGE
86A3603,0.88,5.72,0.86,0.90,7.94,0.76,0.00,NA,NA,0.00,NA,NA,0.00,5.00,161.00,2008.00,954.00,0.00,5.00,-0.66,0.08,0.83,2471.97,467.32
86A3605,0.88,6.26,0.84,0.79,16.22,0.74,0.10,8.11,0.95,0.00,NA,NA,0.00,5.00,149.00,2008.00,1024.00,0.00,1.00,-0.67,0.09,1.06,2547.08,131.74
86A3607,0.64,15.92,0.80,0.65,15.65,0.70,0.00,NA,NA,0.00,NA,NA,0.11,5.00,161.00,2008.00,942.00,0.00,15.00,-0.14,-0.50,1.22,2612.93,122.46
86A3609,0.57,10.92,0.83,0.58,16.10,0.81,0.00,NA,NA,0.00,NA,NA,0.19,5.00,161.00,2008.00,933.00,0.00,2.00,-0.23,-0.40,1.37,2575.12,56.06
86A3610,0.91,5.85,0.85,0.90,8.05,0.80,0.00,NA,NA,0.00,NA,NA,0.00,5.00,161.00,2008.00,1002.00,0.00,5.00,-0.68,0.10,0.85,2412.48,483.57
86A4105,0.92,5.42,0.86,0.92,7.99,0.76,0.00,NA,NA,0.00,NA,NA,0.00,5.00,149.00,2008.00,626.00,0.00,5.00,-0.73,0.17,0.79,2285.31,214.71
86A4107,0.89,5.76,0.85,0.89,7.99,0.77,0.00,NA,NA,0.00,NA,NA,0.00,5.00,149.00,2008.00,613.00,0.00,5.00,-0.66,0.06,0.85,2564.52,143.37
86A4109,0.99,5.38,0.98,1.00,7.94,0.96,0.00,NA,NA,0.00,NA,NA,0.00,5.00,149.00,2008.00,602.00,0.00,5.00,-0.99,0.45,0.60,2722.49,115.72
86A4116,0.90,5.81,0.85,0.90,7.99,0.79,0.00,NA,NA,0.00,NA,NA,0.00,5.00,149.00,2008.00,703.00,0.00,5.00,-0.58,0.04,0.86,2192.31,123.00
86A4303,0.76,11.60,0.84,0.75,16.10,0.79,0.02,8.05,1.00,0.00,NA,NA,0.00,5.00,149.00,2008.00,714.00,0.00,5.00,-0.01,-0.47,1.05,2335.75,100.16
86A4304,0.90,11.52,0.88,0.90,7.99,0.79,0.00,NA,NA,0.00,NA,NA,0.01,5.00,149.00,2008.00,723.00,0.00,5.00,-0.53,0.05,0.86,2271.65,131.34
86A4305,0.91,6.18,0.86,0.91,7.94,0.78,0.00,NA,NA,0.00,NA,NA,0.00,5.00,149.00,2008.00,744.00,0.00,5.00,-0.71,0.11,0.86,2195.29,81.57
86A4307,0.52,17.16,0.86,0.54,23.81,0.83,0.00,NA,NA,0.00,NA,NA,0.32,5.00,149.00,2008.00,733.00,0.00,1.00,-0.42,-0.14,1.38,2176.99,69.38
86A4309,0.89,6.17,0.85,0.87,7.99,0.76,0.00,NA,NA,0.00,NA,NA,0.00,5.00,149.00,2008.00,754.00,0.00,5.00,-0.60,-0.02,0.89,2260.02,171.30
86A4501,1.00,5.34,0.98,1.01,7.88,0.96,0.00,NA,NA,0.00,NA,NA,0.00,5.00,149.00,2008.00,853.00,0.00,5.00,-0.98,0.45,0.59,2034.92,130.84
86A4503,1.00,6.46,0.97,1.01,7.88,0.98,0.00,NA,NA,0.00,NA,NA,0.00,5.00,149.00,2008.00,906.00,0.00,5.00,-1.00,0.46,0.63,1557.74,160.38
86A4505,0.86,12.24,0.77,0.84,7.99,0.68,0.00,NA,NA,0.00,NA,NA,0.00,5.00,149.00,2008.00,828.00,0.00,5.00,-0.42,-0.16,0.91,2386.89,146.65
86A4507,0.88,6.13,0.85,0.90,7.94,0.79,0.00,NA,NA,0.00,NA,NA,0.01,5.00,149.00,2008.00,951.00,0.00,5.00,-0.67,0.09,0.87,2311.35,105.82
86A4510,0.69,5.42,0.74,0.69,7.99,0.67,0.00,NA,NA,0.00,NA,NA,0.14,5.00,149.00,2008.00,1001.00,0.00,1.00,-0.38,-0.21,1.19,2092.35,107.43
